"","Rank","Title","Rating","VoteCount","Number.of.Episodes","Year.Released"
"1","1"," Breaking Bad","9.5","2.2M","62 episodes","2008–2013"
"2","2"," Planet Earth II","9.5","162K","6 episodes","2016"
"3","3"," Planet Earth","9.4","224K","11 episodes","2006"
"4","4"," Band of Brothers","9.4","546K","10 episodes","2001"
"5","5"," Chernobyl","9.3","907K","5 episodes","2019"
"6","6"," The Wire","9.3","391K","60 episodes","2002–2008"
"7","7"," Avatar: The Last Airbender","9.3","390K","61 episodes","2005–2008"
"8","8"," Blue Planet II","9.3","49K","7 episodes","2017"
"9","9"," The Sopranos","9.2","498K","86 episodes","1999–2007"
"10","10"," Cosmos: A Spacetime Odyssey","9.2","132K","13 episodes","2014"
"11","11"," Cosmos","9.3","46K","13 episodes","1980"
"12","12"," Our Planet","9.2","54K","12 episodes","2019–2023"
"13","13"," Game of Thrones","9.2","2.4M","62 episodes","2011–2019"
"14","14"," Bluey","9.3","34K","137 episodes","2018–2024"
"15","15"," The World at War","9.2","31K","26 episodes","1973–1974"
"16","16"," Fullmetal Alchemist Brotherhood","9.1","209K","64 episodes","2009–2010"
"17","17"," Rick and Morty","9.1","627K","72 episodes","2013–2025"
"18","18"," Life","9.1","44K","11 episodes","2009"
"19","19"," The Last Dance","9.0","160K","10 episodes","2020"
"20","20"," The Twilight Zone","9.0","97K","155 episodes","1959–1964"
"21","21"," The Vietnam War","9.1","30K","10 episodes","2017"
"22","22"," Sherlock","9.1","1M","15 episodes","2010–2017"
"23","23"," Attack on Titan","9.1","561K","93 episodes","2013–2023"
"24","24"," Batman: The Animated Series","9.0","122K","85 episodes","1992–1995"
"25","25"," Arcane","9.0","304K","14 episodes","2021–2024"
